w_cat,T,p_tot,F_in_Inert,F_in_A,F_in_B,F_in_C,F_out_Inert,F_out_A,F_out_B,F_out_C
0.5,373.0,1.0,0.2,0.3,0.0,0.0,0.19908530459318016,0.2543049308980266,0.04157857014701975,0.0017473211904022084
0.5,373.0,1.0,0.25,0.25,0.0,0.0,0.2500014901985959,0.21675611196428998,0.034472766997135744,0.001473996439849646
0.5,373.0,1.0,0.3,0.2,0.0,0.0,0.2944656600891552,0.17243122538697825,0.02717770046576601,0.0011440474058169235
0.5,373.0,1.0,0.35,0.15,0.0,0.0,0.3441509442485093,0.12863837860464,0.020912937671084424,0.0008603879637227452
0.5,373.0,1.0,0.4,0.1,0.0,0.0,0.3949120786706779,0.08410044478019474,0.013900773776512386,0.0005771890444138644
0.5,398.0,1.0,0.2,0.3,0.0,0.0,0.19789518087613933,0.1962285028929106,0.10153763103746272,0.007061138147819191
0.5,398.0,1.0,0.25,0.25,0.0,0.0,0.24995499403043642,0.16156760660627525,0.08350349901659036,0.00580346238145056
0.5,398.0,1.0,0.3,0.2,0.0,0.0,0.3033682816888147,0.13055004608330795,0.0654400368781318,0.004723277334735926
0.5,398.0,1.0,0.35,0.15,0.0,0.0,0.34702572210219357,0.0953135425946767,0.05056326657632189,0.003419230928994644
0.5,398.0,1.0,0.4,0.1,0.0,0.0,0.39630549292848377,0.06460161835948008,0.03292667864114487,0.0022761489465832224
0.5,423.0,1.0,0.2,0.3,0.0,0.0,0.20002940672305916,0.09791756473577554,0.1791638072907396,0.019512820694297894
0.5,423.0,1.0,0.25,0.25,0.0,0.0,0.2501468664351315,0.08215430078071183,0.15191044147726016,0.016541504088360554
0.5,423.0,1.0,0.3,0.2,0.0,0.0,0.29981282504693074,0.06649286802925777,0.12048603816225209,0.013293826500505023
0.5,423.0,1.0,0.35,0.15,0.0,0.0,0.35172573760826026,0.050183650332388974,0.09164392429049485,0.009843130390390925
0.5,423.0,1.0,0.4,0.1,0.0,0.0,0.3967483766324851,0.03329495099833605,0.059400413200359985,0.006715815532310242
0.5,448.0,1.0,0.2,0.3,0.0,0.0,0.20059645316903715,0.022477183605619077,0.23509832918269224,0.03897809217465379
0.5,448.0,1.0,0.25,0.25,0.0,0.0,0.2471013852298497,0.019232428233516806,0.2002757345785488,0.03254124068187541
0.5,448.0,1.0,0.3,0.2,0.0,0.0,0.3006125518621489,0.015190795753553036,0.16062751214223261,0.02624626651148997
0.5,448.0,1.0,0.35,0.15,0.0,0.0,0.3548123479664984,0.011608995756842374,0.12047415187475174,0.01951402105380893
0.5,448.0,1.0,0.4,0.1,0.0,0.0,0.4049394446964487,0.007718998641205712,0.07794813065413156,0.012936722793740653
0.5,473.0,1.0,0.2,0.3,0.0,0.0,0.2027150547815144,0.0011602958013081685,0.2393719931126329,0.056372919122461077
0.5,473.0,1.0,0.25,0.25,0.0,0.0,0.24566800062249108,0.0009499922652972347,0.20042945942962143,0.04666072275457072
0.5,473.0,1.0,0.3,0.2,0.0,0.0,0.3049823899082232,0.0007759587597834309,0.16150173559243866,0.037532017168821014
0.5,473.0,1.0,0.35,0.15,0.0,0.0,0.34798344444800705,0.0005771700879566344,0.11947651436837059,0.02811558025919203
0.5,473.0,1.0,0.4,0.1,0.0,0.0,0.39732742256412884,0.0003867748070936634,0.07954299961287666,0.018561383042562968
0.5,373.0,1.0,0.4,0.6,0.0,0.0,0.4003144020796825,0.5634497832686204,0.04389151214502403,0.0017953741235359247
0.5,373.0,1.0,0.5,0.5,0.0,0.0,0.4933674191226371,0.4716598142071319,0.03580667168433091,0.0015337338520695861
0.5,373.0,1.0,0.6,0.4,0.0,0.0,0.6093338835726266,0.37489475378999365,0.028964507576186387,0.0011901272443555514
0.5,373.0,1.0,0.7,0.3,0.0,0.0,0.6914190195059002,0.27320441713816546,0.021360257907626867,0.0009002411409503993
0.5,373.0,1.0,0.8,0.2,0.0,0.0,0.7973570059716116,0.18827397679702532,0.014443879804665846,0.0006037394716799302
0.5,398.0,1.0,0.4,0.6,0.0,0.0,0.392161667900093,0.48931538810218816,0.11249957094712723,0.007619153440828961
0.5,398.0,1.0,0.5,0.5,0.0,0.0,0.4944714192728283,0.39401368621192295,0.09118553595064785,0.006394547933258467
0.5,398.0,1.0,0.6,0.4,0.0,0.0,0.6040969467605938,0.3259735468748618,0.07387302691783412,0.005098560415845478
0.5,398.0,1.0,0.7,0.3,0.0,0.0,0.706226961652335,0.2418833266258502,0.05608406227837735,0.003911046616055926
0.5,398.0,1.0,0.8,0.2,0.0,0.0,0.7966763105143332,0.16013687734881568,0.03653798870685499,0.0025279370072974327
0.5,423.0,1.0,0.4,0.6,0.0,0.0,0.4009337977253514,0.340208302757324,0.2325372584103976,0.024876729876809705
0.5,423.0,1.0,0.5,0.5,0.0,0.0,0.4927719217813405,0.29202938925506666,0.18889461448589748,0.021180413045433905
0.5,423.0,1.0,0.6,0.4,0.0,0.0,0.6090952545877178,0.2333459839651796,0.15671634319537064,0.016874227561205143
0.5,423.0,1.0,0.7,0.3,0.0,0.0,0.6956520880006207,0.17055642031389723,0.11436653087896545,0.012788727424128406
0.5,423.0,1.0,0.8,0.2,0.0,0.0,0.809858011070327,0.11474269827925256,0.07840380860672615,0.008246983349166584
0.5,448.0,1.0,0.4,0.6,0.0,0.0,0.4079338226592617,0.16795485174768537,0.3702535708126517,0.06170362738347776
0.5,448.0,1.0,0.5,0.5,0.0,0.0,0.49743903147362156,0.1392013679588556,0.3101440537597532,0.05009680918261877
0.5,448.0,1.0,0.6,0.4,0.0,0.0,0.5997124352507285,0.1109837040537466,0.2503222479615737,0.040652055542254296
0.5,448.0,1.0,0.7,0.3,0.0,0.0,0.712152487169317,0.08256222795955341,0.18715570169360604,0.03023856309304814
0.5,448.0,1.0,0.8,0.2,0.0,0.0,0.8032219484055472,0.05442747362666269,0.1268624214320732,0.019919427431334985
0.5,473.0,1.0,0.4,0.6,0.0,0.0,0.3996010505935248,0.0368738273716924,0.4527062055997098,0.10745419117579907
0.5,473.0,1.0,0.5,0.5,0.0,0.0,0.4999761223348511,0.031080638632365553,0.38738235553063044,0.08925016924874389
0.5,473.0,1.0,0.6,0.4,0.0,0.0,0.6013250596790712,0.02445104197827178,0.30686626811126827,0.07127831654468972
0.5,473.0,1.0,0.7,0.3,0.0,0.0,0.6877758576449433,0.018573498109353073,0.23272812217830957,0.052439738613395154
0.5,473.0,1.0,0.8,0.2,0.0,0.0,0.8035406806399261,0.012422906917236558,0.15183268815753695,0.034921352022491914
0.5,373.0,1.0,0.8,1.2,0.0,0.0,0.8090866204231132,1.153283132628519,0.04431746488458173,0.001867564826995228
0.5,373.0,1.0,1.0,1.0,0.0,0.0,0.9820196135876067,0.9745756652604151,0.0367219546444242,0.0015544558940666317
0.5,373.0,1.0,1.2,0.8,0.0,0.0,1.1932027329841215,0.7596752159367545,0.029741906351432215,0.00123580409702687
0.5,373.0,1.0,1.4,0.6,0.0,0.0,1.4271760147020625,0.5825590092644989,0.021524091154583896,0.0009149851024593766
0.5,373.0,1.0,1.6,0.4,0.0,0.0,1.6232867989017894,0.3784812239693095,0.014345962518687182,0.0006236259363878699
0.5,398.0,1.0,0.8,1.2,0.0,0.0,0.797943374912925,1.0764952753519679,0.11756488816668274,0.008036239165035083
0.5,398.0,1.0,1.0,1.0,0.0,0.0,0.9888995321943617,0.8836345072875057,0.09660423525025157,0.0067256577159286995
